"ID" "Region" "Type" "Afterschool" "Afterschool_time" "Tutoring_time" "Tutoring_amount" "Korean" "English" "Mathematics" "Computer" "Sex" "Nchildren" "Income" "Major"
1 3 1 2 0 12 359.799976 0 0 0 0 2 3 3 4
2 2 1 2 0 0 0 0 0 0 0 2 1 2 2
3 3 1 2 0 14 1212.237821 0 529.618465 529.618465 0 1 1 3 1
4 4 1 1 1 0 0 0 0 0 0 1 2 2 1
5 3 1 1 10 9.666667 419.766638 0 0 0 0 2 2 1 2
6 1 1 2 0 9 1287.284357 215.879985 535.702186 535.702186 0 2 3 5 6
7 2 1 1 3.333333 18 1439.199903 0 239.86665 0 0 2 2 4 4
8 2 1 2 0 11 714.004153 243.232184 0 0 0 2 2 6 4
9 2 1 2 0 21 353.078977 0 0 0 0 1 3 1 3
10 3 1 1 17 4.666667 159.9111 0 39.977775 39.977775 0 1 2 7 11
11 3 2 2 0 0 0 0 0 0 0 1 2 5 9
12 2 1 2 0 0 0 0 0 0 0 2 2 5 2
13 4 1 2 0 12 395.779973 131.926658 131.926658 131.926658 0 2 1 5 6
14 2 1 2 0 8 1153.391324 0 576.695662 576.695662 0 2 2 4 1
15 4 1 1 2.666667 0 0 0 0 0 0 1 3 8 7
16 2 2 2 0 0 0 0 0 0 0 1 2 1 11
17 1 1 2 0 0 0 0 0 0 0 2 2 3 6
18 2 1 1 4.333333 5 235.385985 0 235.385985 0 0 2 1 4 4
19 2 1 1 6.666667 0 0 0 0 0 0 2 3 4 7
20 4 1 1 11 0 0 0 0 0 0 1 3 4 4
21 3 1 2 0 0 0 0 0 0 0 1 2 5 4
22 3 1 2 0 0 0 0 0 0 0 2 1 5 9
23 3 1 1 5.333333 1.666667 139.922213 0 139.922213 0 0 2 3 7 5
24 2 1 1 1.333333 8 600.234261 0 270.693882 329.540378 0 1 2 8 2
25 3 1 2 0 6 388.386875 0 0 388.386875 0 1 2 2 6
26 3 1 1 0.333333 0 0 0 0 0 0 2 2 7 8
27 2 2 2 0 3 239.86665 0 0 239.86665 0 1 2 4 2
28 4 1 1 6 0 6.063143 0 0 0 0 2 1 5 11
29 3 1 2 0 0 0 0 0 0 0 2 2 3 1
30 2 1 1 10.666667 0 0 0 0 0 0 1 3 3 9
31 2 1 1 6 0 0 0 0 0 0 2 1 8 6
32 3 1 1 6.666667 7.333333 635.542158 0 317.771079 317.771079 0 2 2 5 5
33 3 1 1 2 10 539.699963 0 0 419.766638 0 1 2 7 2
34 3 1 2 0 0 0 0 0 0 0 1 1 8 8
35 2 1 2 0 0 0 0 0 0 0 2 2 3 11
36 3 1 2 0 8 423.694772 0 235.385985 188.308788 0 2 3 6 1
37 3 1 2 0 12 765.00445 0 470.771969 294.232481 0 1 2 6 5
38 2 1 2 0 3 353.078977 0 0 353.078977 0 2 2 3 6
39 4 1 2 0 0 0 0 0 0 0 1 3 5 4
40 2 1 1 7 4 239.86665 0 0 239.86665 0 2 2 7 11
41 1 2 2 0 0 0 0 0 0 0 1 1 2 9
42 3 1 1 6.666667 1.333333 86.308194 0 86.308194 0 0 1 4 7 3
43 3 2 2 0 15 347.978947 0 0 0 0 2 2 2 3
44 3 2 2 0 0 0 0 0 0 0 2 2 7 3
45 4 1 1 5 0 0 0 0 0 0 2 3 5 5
46 2 1 1 3.666667 0 0 0 0 0 0 1 3 8 11
47 3 1 1 1 0 0 0 0 0 0 2 2 1 4
48 1 1 2 0 17 1318.067244 253.059316 351.404643 368.195308 0 1 1 1 1
49 3 1 2 0 9 899.499939 0 479.733301 419.766638 0 2 2 8 6
50 3 1 2 0 0 0 0 0 0 0 1 3 5 2
51 2 1 1 8 0 0 0 0 0 0 1 1 3 8
52 2 1 1 2.333333 20.333333 1255.391918 0 588.464961 666.926956 0 2 2 4 3
53 1 1 2 0 11.666667 591.671071 0 351.804421 0 0 2 3 2 4
54 1 1 2 0 16 1294.622915 0 353.078977 529.618465 0 2 2 6 6
55 4 1 1 4 0 0 0 0 0 0 1 3 3 1
56 1 1 1 4 17 1059.411039 99.944438 419.766638 539.699963 0 2 2 8 7
57 3 1 1 12.666667 10 719.599951 0 359.799976 359.799976 0 2 3 3 5
58 4 1 1 4 0 0 0 0 0 0 2 2 5 9
59 3 1 1 2 4 294.232481 0 0 294.232481 0 2 2 2 1
60 4 1 2 0 0 0 0 0 0 0 1 2 6 2
61 2 1 1 8 6 499.722188 79.95555 0 419.766638 0 1 1 3 6
62 4 1 2 0 0 0 0 0 0 0 2 2 4 10
63 3 1 2 0 4 247.155284 0 0 247.155284 0 2 2 6 1
64 4 1 1 7.333333 3 479.733301 239.86665 239.86665 0 0 1 1 1 11
65 3 2 1 3.333333 0 0 0 0 0 0 2 4 4 2
66 1 1 2 0 12 1439.199903 0 479.733301 959.466602 0 1 2 3 9
67 3 1 2 0 0 0 0 0 0 0 2 3 2 6
68 3 1 1 5 13 647.639956 0 323.819978 323.819978 0 1 2 4 9
69 1 1 1 4 17 1451.193235 335.813311 359.799976 539.699963 0 1 2 6 7
70 3 1 1 3 0 0 0 0 0 0 2 5 4 11
71 3 1 2 0 10 359.799976 119.933325 119.933325 119.933325 0 1 2 8 3
72 2 1 1 9.666667 4 459.744413 159.9111 299.833313 0 0 1 2 5 8
73 4 1 1 4 0 0 0 0 0 0 1 2 2 11
74 4 1 2 0 0 0 0 0 0 0 2 2 4 4
75 3 1 1 5.666667 0 0 0 0 0 0 1 3 2 8
76 3 2 1 3 0 0 0 0 0 0 2 2 3 2
77 3 1 1 2.333333 6.333333 674.773156 0 411.925473 262.847683 0 2 2 7 6
78 1 1 2 0 28 1439.199903 399.777751 39.977775 0 0 2 3 5 4
79 4 1 2 0 10 588.464961 0 294.232481 294.232481 0 1 2 4 10
80 1 1 1 1.666667 10 1144.472318 179.899988 431.759971 287.839981 0 2 3 8 11
81 4 1 1 3.666667 6 479.733301 0 239.86665 239.86665 0 2 2 1 1
82 3 1 1 6.333333 7.333333 366.809826 0 0 280.501632 0 2 1 5 7
83 2 1 2 0 15.666667 971.459934 287.839981 323.819978 359.799976 0 1 2 8 6
84 3 1 1 3.333333 0 0 0 0 0 0 2 1 4 11
85 3 1 2 0 4 359.799976 0 359.799976 0 0 1 4 4 8
86 4 1 2 0 0 0 0 0 0 0 2 2 5 1
87 1 1 1 2.666667 15.666667 2075.319764 1235.776419 0 804.235447 0 1 3 8 1
88 4 1 1 1.666667 0 0 0 0 0 0 2 4 4 11
89 3 1 2 0 2.333333 1119.377702 0 0 0 0 1 2 2 4
90 2 1 1 4 20.666667 823.850946 0 353.078977 470.771969 0 1 2 6 6
91 3 1 1 6 10 294.232481 0 294.232481 0 0 1 3 6 9
92 4 1 1 13.333333 8 1176.929923 0 588.464961 588.464961 0 1 2 6 10
93 2 1 2 0 6 719.599951 0 0 0 0 1 1 4 4
94 3 1 1 3.666667 0 0 0 0 0 0 2 2 5 11
95 3 1 1 1.666667 0 0 0 0 0 0 1 3 2 11
96 3 1 2 0 4 447.233371 0 447.233371 0 0 2 2 5 7
97 1 1 1 5 18 1353.247686 337.812199 371.793308 439.755526 0 1 2 4 8
98 4 1 2 0 0 0 0 0 0 0 2 3 4 2
99 2 1 1 1 18 959.466602 239.86665 359.799976 359.799976 0 2 2 2 1
100 4 1 2 0 4 961.159437 0 549.233964 411.925473 0 1 1 6 2
101 3 1 2 0 0 0 0 0 0 0 1 2 3 1
102 2 1 2 0 3.333333 219.877763 0 99.944438 119.933325 0 1 2 8 3
103 3 1 2 0 10 119.933325 0 59.966663 0 0 2 3 3 11
104 2 2 1 2.666667 0 0 0 0 0 0 2 2 2 7
105 3 1 1 7 0 0 0 0 0 0 2 2 1 3
106 2 1 2 0 18 706.157954 0 353.078977 353.078977 0 2 2 8 6
107 4 1 2 0 2 156.92399 0 156.92399 0 0 2 4 1 11
108 2 1 2 0 0 0 0 0 0 0 1 2 8 6
109 2 1 1 4.666667 11.333333 1431.204348 359.799976 311.826646 639.644401 0 2 3 8 4
110 1 1 2 0 0 0 0 0 0 0 1 2 2 3
111 2 1 2 0 0 0 0 0 0 0 2 2 5 2
112 2 1 1 2.666667 6 359.799976 0 0 359.799976 0 2 2 4 4
113 3 1 1 13.333333 0 0 0 0 0 0 1 2 1 8
114 3 1 1 4.333333 7.333333 768.92755 0 415.848573 353.078977 0 1 2 8 11
115 2 1 1 10.666667 0 0 0 0 0 0 1 1 3 9
116 2 2 1 2 0 0 0 0 0 0 1 2 2 3
117 3 1 1 5 4 719.599951 0 0 0 0 1 1 5 9
118 4 1 1 3 0 0 0 0 0 0 2 2 4 7
119 2 1 1 1.333333 0 0 0 0 0 0 2 2 2 11
120 3 1 1 2 2.666667 235.385985 0 0 0 0 2 3 3 11
121 2 1 1 8 6 239.86665 0 0 239.86665 0 1 2 1 3
122 1 2 1 4 3 599.666626 0 299.833313 299.833313 0 2 2 1 11
123 2 2 1 1.333333 0 0 0 0 0 0 1 2 4 3
124 4 1 1 13.333333 7 1176.929923 0 470.771969 706.157954 0 2 1 4 11
125 3 1 1 2 0 0 0 0 0 0 1 2 7 7
126 2 1 2 0 0 0 0 0 0 0 1 1 8 3
127 3 2 1 1 0 0 0 0 0 0 1 3 2 9
128 3 1 1 7 0 0 0 0 0 0 2 3 8 1
129 1 2 1 12 0 0 0 0 0 0 2 3 6 4
130 4 2 1 9 0 0 0 0 0 0 1 3 3 9
131 3 2 1 4 0 0 0 0 0 0 2 2 4 1
132 2 1 2 0 6 902.312941 0 627.695959 274.616982 0 1 1 6 9
133 4 1 1 6.666667 0 0 0 0 0 0 1 2 5 4
134 2 1 1 4 8.333333 1239.532617 419.766638 199.888875 359.799976 0 1 3 8 11
135 2 1 2 0 10 196.154987 0 0 196.154987 0 1 2 5 9
136 3 1 2 0 21 989.449933 0 179.899988 269.849982 0 2 3 6 8
137 4 1 1 6.666667 0 0 0 0 0 0 2 5 1 1
138 3 1 1 1.333333 11 757.15825 86.308194 317.771079 353.078977 0 1 2 5 9
139 3 1 1 6.333333 18 899.499939 239.86665 239.86665 359.799976 0 2 2 3 3
140 1 1 2 0 0 0 0 0 0 0 2 2 7 4
141 4 1 2 0 10 78.461995 0 0 78.461995 0 2 2 5 11
142 2 1 2 0 4 588.464961 0 294.232481 294.232481 0 1 2 5 6
143 2 1 1 4 4 799.555501 0 319.822201 479.733301 0 2 2 6 9
144 1 1 2 0 10 765.00445 235.385985 235.385985 235.385985 0 1 2 4 5
145 4 1 1 4.333333 0 0 0 0 0 0 1 1 3 10
146 4 1 1 3 15 1172.23517 239.86665 239.86665 0 0 1 3 5 1
147 3 1 2 0 4 239.86665 0 239.86665 0 0 2 2 5 4
148 2 1 2 0 1.666667 143.91999 71.959995 0 71.959995 0 1 3 3 6
149 3 1 1 3.333333 0 0 0 0 0 0 1 3 4 9
150 2 2 1 4.666667 3 353.078977 0 0 353.078977 0 1 2 4 9
151 4 1 1 2.666667 12 1059.236931 0 0 470.771969 0 1 2 5 7
152 4 1 2 0 0 0 0 0 0 0 1 2 2 2
153 4 2 2 0 0 0 0 0 0 0 1 4 8 8
154 3 1 2 0 21 1082.775529 235.385985 353.078977 0 0 2 1 1 4
155 3 1 2 0 0 0 0 0 0 0 1 3 3 4
156 3 1 1 6 6.333333 765.00445 0 353.078977 411.925473 0 2 2 6 11
157 1 1 1 1.333333 12 1118.083427 235.385985 411.925473 470.771969 0 1 2 3 4
158 4 1 2 0 8 706.157954 0 353.078977 353.078977 0 1 1 6 8
